,playerID,stint,2B,3B,A,AB,BB,CS,DP,E,GIDP,H,HBP,HR,IBB,InnOuts,PB,PO,R,RBI,SB,SF,SH,SO,WP,ZR,HOF
3874,vernomi01,22.0,490.0,120.0,1448.0,8731.0,955.0,90.0,2044.0,212.0,183.0,2495.0,49.0,172.0,22.0,14643.0,0.0,19819.0,1196.0,1311.0,137.0,19.0,80.0,869.0,0.0,0.0,0.0
3875,warrebe01,8.0,26.0,7.0,214.0,989.0,129.0,0.0,31.0,42.0,34.0,217.0,5.0,33.0,0.0,0.0,17.0,1170.0,97.0,104.0,1.0,0.0,6.0,177.0,0.0,0.0,0.0
3876,welajjo01,4.0,40.0,3.0,6.0,793.0,53.0,15.0,1.0,15.0,15.0,198.0,2.0,4.0,0.0,0.0,0.0,479.0,115.0,74.0,36.0,0.0,11.0,73.0,0.0,0.0,0.0
3877,westdi01,6.0,10.0,2.0,36.0,299.0,12.0,0.0,4.0,8.0,3.0,66.0,1.0,3.0,0.0,0.0,6.0,325.0,30.0,35.0,6.0,0.0,4.0,42.0,0.0,0.0,0.0
3878,youngba01,13.0,121.0,17.0,307.0,2403.0,274.0,0.0,412.0,62.0,44.0,656.0,17.0,79.0,0.0,0.0,0.0,5125.0,320.0,415.0,9.0,0.0,15.0,161.0,0.0,0.0,0.0
3879,bakerbi01,10.0,25.0,5.0,83.0,588.0,68.0,0.0,11.0,12.0,19.0,145.0,3.0,2.0,0.0,0.0,11.0,603.0,45.0,68.0,6.0,0.0,5.0,30.0,0.0,0.0,0.0
3880,bragabo01,17.0,62.0,12.0,1346.0,1900.0,110.0,0.0,252.0,143.0,54.0,456.0,2.0,15.0,0.0,0.0,3.0,1374.0,136.0,172.0,12.0,0.0,39.0,117.0,0.0,0.0,0.0
3881,brosksi01,1.0,1.0,0.0,6.0,22.0,1.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3882,campbso01,2.0,11.0,4.0,6.0,390.0,38.0,9.0,0.0,4.0,10.0,96.0,1.0,3.0,0.0,0.0,0.0,234.0,44.0,37.0,1.0,0.0,3.0,33.0,0.0,0.0,0.0
3883,chartmi01,10.0,34.0,7.0,30.0,765.0,104.0,7.0,19.0,17.0,16.0,186.0,4.0,21.0,0.0,0.0,0.0,620.0,96.0,98.0,4.0,0.0,5.0,112.0,0.0,0.0,0.0
3884,colliri03,2.0,3.0,0.0,24.0,123.0,15.0,0.0,3.0,8.0,5.0,26.0,1.0,1.0,0.0,0.0,5.0,138.0,11.0,14.0,4.0,0.0,1.0,18.0,0.0,0.0,0.0
3885,coopewa01,24.0,240.0,40.0,589.0,4702.0,309.0,1.0,80.0,138.0,160.0,1341.0,22.0,173.0,3.0,2386.0,79.0,5166.0,573.0,812.0,18.0,1.0,44.0,357.0,21.0,0.0,0.0
3886,daviscr01,7.0,12.0,2.0,332.0,444.0,35.0,0.0,63.0,30.0,11.0,102.0,2.0,2.0,0.0,0.0,0.0,367.0,43.0,43.0,2.0,0.0,12.0,56.0,0.0,0.0,0.0
3887,dejanmi01,1.0,0.0,1.0,0.0,16.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3888,dimagdo01,11.0,308.0,57.0,147.0,5640.0,750.0,62.0,32.0,89.0,107.0,1680.0,31.0,87.0,0.0,0.0,0.0,3859.0,1046.0,618.0,100.0,0.0,57.0,571.0,0.0,0.0,0.0
3889,fernaed01,2.0,3.0,0.0,11.0,65.0,15.0,0.0,2.0,5.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,88.0,5.0,6.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
3890,filesa01,2.0,0.0,0.0,14.0,13.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3891,gilbech01,8.0,27.0,9.0,25.0,852.0,86.0,0.0,9.0,9.0,12.0,195.0,3.0,5.0,0.0,0.0,0.0,475.0,109.0,55.0,7.0,0.0,11.0,82.0,0.0,0.0,0.0
3892,gilleca01,5.0,41.0,7.0,35.0,1004.0,153.0,2.0,7.0,19.0,30.0,261.0,3.0,11.0,0.0,0.0,0.0,834.0,129.0,114.0,20.0,0.0,15.0,138.0,0.0,0.0,0.0
3893,grempbu01,6.0,14.0,0.0,46.0,291.0,18.0,0.0,22.0,10.0,12.0,65.0,1.0,3.0,0.0,0.0,0.0,695.0,19.0,31.0,1.0,0.0,5.0,24.0,0.0,0.0,0.0
